H00001 NP_001005484.1
H00143 NP_065682.2
H00144 NP_001036130.1
H00145 NP_078930.3
H00146 NP_619642.2
H00147 NP_803884.1
H00148 NP_005332.1
H00149 NP_055666.2
H00150 NP_722519.2
H00151 NP_612359.2
H00152 NP_060668.2
H00153 NP_056030.1
H00154 XP_003118890.1
H00155 NP_004772.1
H00156 NP_058515.1
H00157 NP_068835.1
H00158 NP_006777.1
H00159 NP_001552.2
H00160 NP_009193.2
H00161 NP_001116849.1
H00162 NP_061821.1
H00163 NP_001073866.1
H00164 NP_036234.3
H00165 NP_001036146.1
H00166 NP_001036147.1
H00167 NP_001419.1
H00168 NP_001206.2
H00169 NP_997303.2
H00170 NP_003030.1
H00171 NP_001129057.1
H00172 NP_079256.4
H00173 NP_004276.2
H00174 NP_079382.2
H00175 NP_115691.1
H00176 NP_001124396.2
H00177 NP_001010866.1
H00178 NP_005017.3
H00179 NP_055759.3
H00180 NP_001009566.1
H00181 NP_064633.1
H00182 NP_001012329.1
H00183 NP_115744.2
H00184 NP_073624.2
H00185 NP_443192.1
H00186 NP_001099032.1
H00187 NP_006039.2
H00188 NP_055889.2
H00189 NP_904325.2
H00190 NP_002622.2
H00191 NP_940946.1
H00192 NP_950171.2
H00193 NP_954988.1
H00194 NP_001293.2
H00195 NP_004392.1
H00196 NP_998731.1
H00197 NP_004556.1
H00198 NP_001073312.1
H00199 NP_060236.3
H00200 NP_001164225.1
H00201 NP_031401.1
H00202 NP_006601.2
H00203 NP_631947.1
H00204 NP_003123.2
H00205 NP_001001998.1
H00206 NP_002676.1
H00207 NP_004949.1
H00208 NP_066969.1
H00209 NP_037451.1
H00210 NP_065831.1
H00211 NP_036300.2
H00212 NP_904320.1
H00213 NP_904319.1
H00214 NP_001014765.1
H00215 NP_149438.2
H00216 NP_060908.1
H00217 NP_006332.3
H00218 NP_001120797.1
H00219 NP_940947.3
H00220 XP_003118891.1
H00221 NP_001035284.1
H00222 NP_065083.3
H00223 NP_001035285.1
H00224 NP_001035286.1
H00225 NP_001035287.1
H00226 XP_003118896.1
H00227 XP_003118893.1
H00228 XP_003118897.1
H00229 XP_003118892.1
H00230 NP_005948.3
H00231 NP_001277.1
H00232 NP_068504.1
H00233 NP_068503.1
H00234 NP_068505.1
H00235 NP_006163.1
H00236 NP_002512.1
H00237 NP_612355.1
H00238 NP_000293.2
H00239 NP_055689.1
H00240 NP_001121132.1
H00241 NP_068752.2
H00242 NP_001234.2
H00243 NP_694421.1
H00244 NP_001057.1
H00245 NP_056193.2
H00246 NP_060626.2
H00247 NP_004744.2
H00248 NP_001013652.1
H00249 NP_001096639.1
H00250 NP_001096640.1
H00251 NP_689503.2
H00252 NP_001074299.1
H00253 NP_075389.1
H00254 NP_001139816.1
H00255 NP_001013653.1
H00256 NP_075390.1
H00257 NP_001009611.1
H00258 NP_001034450.2
H00259 NP_001012277.1
H00260 NP_001010889.1
H00261 NP_001094101.1
H00262 XP_001130065.3
H00263 XP_003118894.1
H00264 XP_003118895.1
H00265 XP_497653.4
H00266 NP_001130033.2
H00267 XP_933494.1
H00268 NP_001013714.3
H00269 NP_001013425.1
H00270 NP_001012276.1
H00271 NP_001010890.1
H00272 NP_001019832.1
H00273 NP_001093320.1
H00274 NP_001038945.1
H00275 NP_001093584.1
H00276 NP_001091846.1
H00277 NP_001093324.1
H00278 NP_001093260.2
H00279 NP_001093321.1
H00280 NP_001093322.1
H00281 NP_001010847.1
H00282 NP_006465.3
H00283 NP_938203.2
H00284 NP_001006625.1
H00285 NP_001006626.1
H00286 NP_001129082.1
H00287 NP_036363.2
H00288 NP_056950.2
H00289 NP_001007258.1
H00290 NP_963922.2
H00291 NP_056024.1
H00292 NP_001018000.1
H00293 NP_001017999.1
H00294 NP_001018001.1
H00295 NP_060492.1
H00296 NP_001129688.1
H00297 NP_001129689.1
H00298 NP_001129690.1
H00299 NP_443161.1
H00300 NP_077305.2
H00301 NP_009203.2
H00302 NP_254275.1
H00303 NP_056933.2
H00304 NP_001220.2
H00305 NP_127463.1
H00306 NP_056106.1
H00307 NP_079034.3
H00308 XP_940013.3
H00309 NP_115717.3
H00310 NP_006502.1
H00311 NP_055979.2
H00312 NP_997231.1
H00313 NP_001013663.1
H00314 NP_060026.2
H00315 NP_001019387.1
H00316 NP_001019386.1
H00317 NP_001083060.1
H00318 NP_055816.2
H00319 NP_003434.2
H00320 NP_849162.1
H00321 NP_055239.1
H00322 NP_004061.3
H00323 NP_001036169.1
H00324 NP_000076.2
H00325 NP_001159417.1
H00326 NP_872429.2
H00327 NP_004422.2
H00328 NP_694945.2
H00329 NP_112169.2
H00330 NP_061867.1
H00331 NP_001108072.1
H00332 NP_056424.1
H00333 NP_940948.1
H00334 NP_001138749.1
H00335 NP_001138750.1
H00336 NP_060560.1
H00337 XP_003118553.1
H00338 XP_001721585.1
H00339 NP_060410.2
H00340 XP_001130683.1
H00341 XP_001715421.1
H00342 NP_055490.3
H00343 NP_059453.1
H00344 NP_002394.1
H00345 NP_001128719.1
H00346 NP_001128720.1
H00347 NP_001135446.1
H00348 NP_071372.1
H00349 NP_001135445.1
H00350 NP_002991.2
H00351 NP_031391.2
H00352 NP_037490.2
H00353 NP_057317.2
H00354 NP_036519.2
H00355 NP_997304.3
H00356 NP_061185.1
H00357 NP_001129676.1
H00358 NP_060595.3
H00359 NP_001011722.2
H00360 NP_110439.2
H00361 NP_116269.3
H00362 NP_689588.2
H00363 NP_001128726.1
H00364 NP_039236.1
H00365 NP_002575.1
H00366 NP_689418.2
H00367 NP_003739.2
H00368 NP_733844.1
H00369 NP_001154976.1
H00370 NP_001129737.1
H00371 NP_065816.2
H00372 NP_055862.1
H00373 NP_057267.2
H00374 NP_957704.3
H00375 NP_001138761.1
H00376 NP_036199.2
H00377 XP_003118554.1
H00378 NP_003680.2
H00379 NP_001035214.1
H00380 NP_060235.2
H00381 NP_001035215.1
H00382 NP_004921.1
H00383 NP_001027535.1
H00384 NP_877421.2
H00385 NP_005371.1
H00386 NP_000862.1
H00387 NP_859070.3
H00388 NP_061935.1
H00389 NP_056022.1
H00390 NP_055404.1
H00391 NP_000291.1
H00392 NP_001155199.1
H00393 NP_001155200.1
H00394 NP_001155201.1
H00395 NP_000920.1
H00396 NP_036532.1
H00397 NP_073730.3
H00398 NP_001099042.1
H00399 NP_689589.1
H00400 NP_001034589.2
H00401 NP_061054.2
H00402 NP_078820.2
H00403 NP_997217.1
H00404 NP_001776.1
H00405 NP_115785.1
H00406 NP_005207.2
H00407 NP_065867.2
H00408 NP_001116291.1
H00409 NP_001096631.1
H00410 NP_001096630.1
H00411 NP_057371.2
H00412 NP_003751.2
H00413 NP_001106819.1
H00414 NP_001388.1
H00415 NP_001106820.1
H00416 NP_001106818.1
H00417 NP_115640.1
H00418 NP_000469.3
H00419 NP_001170991.1
H00420 NP_001120973.2
H00421 NP_001139130.1
H00422 NP_001139129.1
H00423 NP_002876.2
H00424 NP_115612.4
H00425 NP_001027902.1
H00426 NP_001013715.2
H00427 NP_005520.4
H00428 NP_031378.1
H00429 NP_005738.4
H00430 NP_001034891.1
H00431 NP_001782.1
H00432 NP_426359.1
H00433 NP_110388.2
H00434 NP_055685.3
H00435 NP_001077090.1
H00436 NP_065387.1
H00437 NP_001006944.1
H00438 NP_057075.1
H00439 NP_001107573.1
H00440 NP_758957.2
H00441 NP_000482.3
H00442 NP_059145.2
H00443 NP_004433.2
H00444 XP_002342076.1
H00445 NP_055828.2
H00446 NP_001009999.1
H00447 NP_361013.3
H00448 NP_001136018.1
H00449 NP_000855.1
H00450 NP_005817.1
H00451 NP_001095868.1
H00452 NP_001095867.1
H00453 NP_001095869.1
H00454 NP_001070663.1
H00455 NP_085137.1
H00456 NP_003187.1
H00457 NP_060177.2
H00458 NP_001137250.1
H00459 NP_004082.1
H00460 NP_002158.3
H00461 XP_001131535.2
H00462 NP_000966.2
H00463 NP_003189.2
H00464 NP_065095.2
H00465 NP_009191.1
H00466 NP_001121093.1
H00467 NP_001008217.1
H00468 NP_000394.2
H00469 NP_001159531.1
H00470 NP_000182.2
H00471 NP_000138.2
H00472 NP_001832.1
H00473 NP_060231.1
H00474 NP_006616.1
H00475 NP_001177936.1
H00476 NP_001177938.1
H00477 NP_001177935.1
H00478 NP_473357.1
H00479 NP_001177934.1
H00480 NP_689585.3
H00481 NP_067081.2
H00482 NP_734464.1
H00483 NP_775087.1
H00484 NP_775088.1
H00485 NP_937817.3
H00486 NP_937816.1
H00487 NP_067003.2
H00488 NP_001181939.1
H00489 NP_835223.1
H00490 NP_065181.1
H00491 NP_038469.1
H00492 NP_001010980.1
H00493 NP_005830.2
H00494 NP_039234.1
H00495 NP_001026850.1
H00496 NP_004341.1
H00497 NP_056299.1
H00498 NP_997053.1
H00499 NP_064713.3
H00500 NP_057208.2
H00501 NP_001121163.1
H00502 NP_055128.1
H00503 NP_065231.3
H00504 NP_619522.3
H00505 NP_619524.3
H00506 NP_619523.3
H00507 NP_060672.2
H00508 NP_056442.2
H00509 NP_065112.1
H00510 NP_065184.2
H00511 NP_996809.1
H00512 NP_062457.3
H00513 NP_001093095.1
H00514 NP_001093096.1
H00515 NP_001093097.1
H00516 NP_076942.1
H00517 NP_848509.1
H00518 NP_001138926.1
H00519 NP_005554.1
H00520 NP_981944.1
H00521 NP_981946.1
H00522 NP_000428.2
H00523 NP_004446.2
H00524 NP_001004434.1
H00525 NP_115902.1
H00526 NP_115977.2
H00527 NP_690048.1
H00528 NP_079145.2
H00529 NP_056955.2
H00530 NP_006305.2
H00531 NP_937770.1
H00532 NP_073615.2
H00533 NP_112576.1
H00534 NP_892120.2
H00535 NP_663320.2
H00536 NP_001070730.1
H00537 NP_001794.2
H00538 NP_001034864.2
H00539 NP_775845.2
H00540 NP_001108231.1
H00541 NP_078950.1
H00542 NP_995583.1
H00543 NP_079163.2
H00544 NP_005508.1
H00545 NP_002944.2
H00546 NP_001006666.1
H00547 NP_624361.1
H00548 NP_006006.3
H00549 NP_060307.2
H00550 NP_115659.1
H00551 NP_006133.1
H00552 NP_060536.3
H00553 NP_071361.2
H00554 NP_068804.1
H00555 NP_006591.1
H00556 NP_689578.2
H00557 XP_934596.2
H00558 NP_001013664.1
H00559 NP_443175.2
H00560 NP_003038.2
H00561 NP_055838.2
H00562 NP_115501.2
H00563 NP_116261.1
H00564 NP_001180237.1
H00565 NP_004663.3
H00566 NP_003656.2
H00567 NP_775628.1
H00568 NP_997280.1
H00569 NP_005272.1
H00570 NP_008921.1
H00571 NP_001025053.1
H00572 NP_001036194.1
H00573 NP_005239.1
H00574 NP_001036212.1
H00575 NP_002029.3
H00576 NP_075010.1
H00577 NP_075011.1
H00578 NP_001137384.1
H00579 NP_001137385.1
H00580 NP_001137386.1
H00581 NP_689873.1
H00582 NP_001137387.1
H00583 NP_803173.1
H00584 NP_054829.2
H00585 NP_612568.1
H00586 NP_002704.1
H00587 NP_001099026.1
H00588 NP_004839.2
H00589 NP_001034566.1
H00590 NP_002937.1
H00591 NP_055289.2
H00592 NP_001009568.1
H00593 NP_060523.2
H00594 NP_001981.2
H00595 NP_001158193.1
H00596 NP_000943.1
H00597 NP_001158194.1
H00598 NP_001158195.1
H00599 NP_055095.2
H00600 NP_057395.1
H00601 NP_835497.1
H00602 NP_835498.1
H00603 NP_113647.1
H00604 NP_001120822.1
H00605 NP_060108.2
H00606 NP_001041648.1
H00607 NP_076412.3
H00608 NP_001041664.1
H00609 NP_001041659.1
H00610 NP_001041660.1
H00611 NP_001260.1
H00612 NP_060316.1
H00613 NP_001180461.1
H00614 NP_689517.1
H00615 NP_005635.1
H00616 NP_001128690.1
H00617 NP_077808.1
H00618 NP_006573.2
H00619 NP_057342.2
H00620 NP_001166599.1
H00621 NP_001166299.1
H00622 NP_000902.3
H00623 NP_001159477.1
H00624 NP_976218.1
H00625 NP_001159478.1
H00626 NP_976217.1
H00627 NP_001159479.1
H00628 NP_004428.1
H00629 NP_001003682.1
H00630 NP_001165339.1
H00631 NP_005617.2
H00632 NP_057095.2
H00633 NP_001019903.1
H00634 NP_573439.2
H00635 NP_573438.3
H00636 NP_005695.3
H00637 NP_001181930.1
H00638 XP_002342078.1
H00639 NP_002370.1
H00640 NP_006753.1
H00641 NP_055469.3
H00642 NP_001018494.1
H00643 NP_055491.1
H00644 NP_078798.2
H00645 NP_004805.2
H00646 NP_057589.2
H00647 NP_004093.1
H00648 NP_849196.2
H00649 NP_071447.1
H00650 NP_001516.2
H00651 NP_036524.1
H00652 NP_001847.3
H00653 NP_001694.2
H00654 NP_653170.3
H00655 NP_536316.1
H00656 NP_001182029.1
H00657 NP_001182030.1
H00658 XP_003119017.1
H00659 NP_006550.1
H00660 NP_060526.2
H00661 NP_036448.1
H00662 NP_787048.1
H00663 NP_077272.2
H00664 NP_060604.2
H00665 NP_001153514.1
H00666 NP_001092904.1
H00667 NP_061991.3
H00668 NP_003748.1
H00669 NP_116037.2
H00670 NP_005347.3
H00671 NP_001036236.1
H00672 NP_004955.2
H00673 NP_075385.1
H00674 NP_001161148.1
H00675 NP_443073.1
H00676 NP_060515.3
H00677 NP_001137360.1
H00678 NP_001137361.1
H00679 NP_001137362.1
H00680 NP_001139192.1
H00681 NP_001035531.1
H00682 NP_848642.1
H00683 NP_005601.1
H00684 NP_001128727.1
H00685 NP_001128728.1
H00686 NP_001155180.1
H00687 NP_110413.2
H00688 NP_065939.2
H00689 NP_003671.1
H00690 NP_073590.2
H00691 NP_001017406.1
H00692 NP_001165411.1
H00693 NP_715637.1
H00694 NP_001165412.1
H00695 NP_002134.2
H00696 NP_277039.1
H00697 NP_699172.2
H00698 NP_001120833.1
H00699 XP_003119006.1
H00700 NP_037543.1
H00701 NP_001616.1
H00702 NP_443724.1
H00703 NP_060677.2
H00704 NP_689706.2
H00705 NP_932157.1
H00706 NP_004418.2
H00707 NP_660281.2
H00708 NP_443128.2
H00709 NP_660206.2
H00710 NP_001128206.1
H00711 NP_116273.2
H00712 NP_005259.1
H00713 NP_694944.1
H00714 NP_076872.1
H00715 NP_001005752.1
H00716 NP_002051.2
H00717 NP_612437.3
H00718 NP_001158296.1
H00719 NP_001158297.1
H00720 NP_001073887.1
H00721 XP_003119009.1
H00722 NP_009098.3
H00723 NP_079048.3
H00724 NP_005057.1
H00725 NP_005086.2
H00726 NP_079150.3
H00727 NP_055099.1
H00728 NP_001014839.1
H00729 NP_001014841.1
H00730 NP_848643.2
H00731 NP_002785.1
H00732 NP_689587.1
H00733 NP_071394.2
H00734 NP_001177410.1
H00735 NP_060099.2
H00736 NP_036331.1
H00737 NP_079128.2
H00738 NP_803171.1
H00739 NP_055281.2
H00740 NP_060295.1
H00741 NP_005193.1
H00742 NP_055223.1
H00743 NP_060537.3
H00744 NP_005110.2
H00745 NP_001156002.1
H00746 NP_078952.4
H00747 NP_060636.1
H00748 NP_114406.1
H00749 NP_116270.1
H00750 NP_659484.4
H00751 NP_996668.1
H00752 NP_112570.2
H00753 NP_758519.1
H00754 NP_000751.1
H00755 NP_724781.1
H00756 NP_000822.2
H00757 NP_079355.2
H00758 NP_073593.2
H00759 NP_078976.2
H00760 NP_003453.2
H00761 NP_037417.1
H00762 NP_001033722.1
H00763 NP_060320.1
H00764 NP_060571.1
H00765 NP_001092909.1
H00766 NP_775912.2
H00767 NP_001106954.1
H00768 NP_001026910.1
H00769 NP_689709.1
H00770 NP_078916.3
H00771 NP_940848.2
H00772 NP_001136198.1
H00773 NP_005946.2
H00774 NP_005531.2
H00775 NP_006793.1
H00776 NP_004459.2
H00777 NP_057121.2
H00778 NP_002690.3
H00779 NP_071440.1
H00780 NP_036465.2
H00781 NP_110399.2
H00782 NP_060291.2
H00783 NP_078871.1
H00784 NP_001129747.1
H00785 NP_004543.1
H00786 NP_001171908.1
H00787 NP_036222.3
H00788 XP_003119015.1
H00789 NP_149033.2
H00790 NP_055853.1
H00791 NP_861525.2
H00792 NP_001129125.1
H00793 NP_003810.1
H00794 NP_001129126.1
H00795 NP_055386.1
H00796 NP_115915.1
H00797 NP_057341.1
H00798 NP_982281.1
H00799 NP_001181936.1
H00800 NP_006103.1
H00801 NP_001711.2
H00802 NP_071403.1
H00803 XP_002342117.1
H00804 NP_060116.2
H00805 NP_001028254.2
H00806 NP_001028253.1
H00807 NP_005367.2
H00808 NP_116182.2
H00809 NP_001129965.1
H00810 NP_006358.1
H00811 NP_001099000.1
H00812 NP_000301.1
H00813 NP_001136076.1
H00814 NP_036553.2
H00815 NP_001008740.1
H00816 NP_005848.2
H00817 NP_001843.1
H00818 NP_073570.1
H00819 NP_075558.2
H00820 NP_940896.2
H00821 NP_073611.1
H00822 NP_689586.3
H00823 NP_055562.2
H00824 NP_055038.2
H00825 NP_001136059.1
H00826 NP_001136060.1
H00827 NP_001136061.1
H00828 NP_001136062.1
H00829 NP_004691.2
H00830 NP_751895.1
H00831 NP_597724.1
H00832 NP_001896.2
H00833 NP_659427.3
H00834 NP_001161719.1
H00835 NP_001165690.1
H00836 NP_036368.1
H00837 NP_001165693.1
H00838 NP_001026864.1
H00839 NP_001165689.1
H00840 NP_001165691.1
H00841 NP_001165692.1
H00842 XP_002342143.2
H00843 NP_001947.1
H00844 NP_078779.2
H00845 NP_001121186.1
H00846 NP_009033.1
H00847 NP_291031.2
H00848 NP_055762.3
H00849 NP_775913.2
H00850 NP_115633.3
H00851 NP_001139664.1
H00852 NP_078940.2
H00853 NP_001070915.1
H00854 NP_001074319.1
H00855 NP_006338.1
H00856 NP_004550.2
H00857 NP_683763.2
H00858 NP_001172046.1
H00859 NP_001116867.1
H00860 NP_071751.3
H00861 NP_001139761.1
H00862 NP_077002.2
H00863 XP_001718912.1
H00864 XP_003119019.1
H00865 XP_003119018.1
H00866 NP_955374.1
H00867 NP_061008.2
H00868 NP_001017922.1
H00869 NP_056995.1
H00870 NP_006507.2
H00871 NP_001094846.2
H00872 NP_001153408.1
H00873 NP_006815.2
H00874 NP_689711.2
H00875 NP_001161437.1
H00876 NP_001161438.1
H00877 XP_003119014.1
H00878 NP_653227.1
H00879 NP_872323.1
H00880 NP_001158301.1
H00881 NP_005415.1
H00882 NP_005364.1
H00883 NP_001246.2
H00884 NP_073732.1
H00885 NP_443109.2
H00886 NP_963836.2
H00887 NP_001012979.1
H00888 NP_056099.2
H00889 NP_001177809.1
H00890 NP_112484.3
H00891 NP_569707.2
H00892 NP_002831.2
H00893 NP_055478.2
H00894 NP_006270.1
H00895 NP_777624.1
H00896 NP_777626.1
H00897 NP_777629.1
H00898 NP_777628.2
H00899 NP_777631.2
H00900 NP_777623.2
H00901 NP_777625.1
H00902 NP_777627.1
H00903 NP_777630.1
H00904 NP_476431.2
H00905 NP_476432.2
H00906 NP_001129687.1
H00907 NP_055467.3
H00908 NP_001034678.1
H00909 NP_001375.2
H00910 NP_004038.1
H00911 NP_001034546.1
H00912 NP_003771.1
H00913 NP_001005417.1
H00914 NP_689712.1
H00915 NP_001020016.1
H00916 NP_008865.2
H00917 NP_964012.2
H00918 NP_775755.3
H00919 XP_003119020.1
H00920 NP_061973.1
H00921 NP_001029195.1
H00922 NP_001029196.1
H00923 NP_076971.1
H00924 NP_060620.2
H00925 NP_078863.2
H00926 NP_001139108.1
H00927 NP_006836.2
H00928 NP_001003.1
H00929 NP_695006.1
H00930 NP_004064.2
H00931 NP_001013654.1
H00932 NP_001130009.1
H00933 NP_001159764.1
H00934 NP_003729.3
H00935 NP_065098.1
H00936 NP_001160060.1
H00937 XP_003119021.1
H00938 NP_078878.3
H00939 NP_000365.3
H00940 NP_065934.1
H00941 NP_116145.1
H00942 NP_036354.1
H00943 NP_001041636.1
H00944 NP_001121897.1
H00945 NP_001041637.1
H00946 NP_001041638.1
H00947 NP_001041639.1
H00948 NP_079353.3
H00949 NP_009101.2
H00950 NP_056321.2
H00951 NP_859047.1
H00952 NP_859048.1
H00953 NP_002565.1
H00954 NP_006057.1
H00955 NP_697021.1
H00956 NP_002473.2
H00957 NP_689511.2
H00958 NP_001177111.1
H00959 NP_001108410.2
H00960 NP_067652.1
H00961 NP_057570.2
H00962 NP_001138821.1
H00963 NP_005888.1
H00964 NP_055927.2
H00965 NP_003620.3
H00966 NP_001107644.1
H00967 XP_002342149.1
H00968 NP_005718.2
H00969 NP_060209.3
H00970 NP_001013633.1
H00971 NP_003570.2
H00972 NP_001136020.1
H00973 NP_006360.3
H00974 NP_005995.2
H00975 NP_950245.2
H00976 NP_001432.2
H00977 XP_001129139.1
H00978 NP_671725.1
H00979 NP_757379.1
H00980 NP_001091080.1
H00981 NP_003675.2
H00982 NP_001129025.1
H00983 NP_945324.1
H00984 NP_660322.2
H00985 NP_958805.1
H00986 NP_073582.2
H00987 NP_001036011.1
H00988 NP_001138946.1
H00989 NP_055589.1
H00990 XP_003119022.1
H00991 NP_000770.2
H00992 NP_001093242.1
H00993 NP_000769.2
H00994 NP_828847.1
H00995 NP_835235.1
H00996 NP_001010969.2
H00997 NP_005755.1
H00998 NP_003180.1
H00999 NP_003026.2
H01000 NP_001041631.1
H01001 NP_057392.1
H01002 NP_001129612.1
H01003 NP_036318.1
H01004 NP_004465.3
H01005 NP_001181915.1
H01006 NP_001011547.2
H01007 NP_001128653.1
H01008 NP_061946.1
H01009 NP_116174.3
H01010 NP_078879.2
H01011 NP_001138249.1
H01012 NP_001138248.1
H01013 NP_001138247.1
H01014 NP_068771.2
H01015 NP_001138246.1
H01016 NP_115486.1
H01017 NP_008982.1
H01018 NP_001253.1
H01019 NP_523240.1
H01020 NP_001129980.1
H01021 NP_055187.1
H01022 NP_001138304.1
H01023 NP_001073963.1
H01024 NP_001972.1
H01025 NP_001153441.1
H01026 NP_078862.3
H01027 NP_683706.2
H01028 NP_683707.2
H01029 NP_683705.1
H01030 NP_683704.1
H01031 NP_683702.1
H01032 NP_683703.1
H01033 NP_002516.2
H01034 NP_001095132.1
H01035 NP_002858.2
H01036 NP_056997.1
H01037 NP_612426.1
H01038 NP_689478.1
H01039 NP_001129969.1
H01040 NP_004790.2
H01041 NP_015563.2
H01042 NP_015562.1
H01043 NP_115825.1
H01044 NP_004144.2
H01045 NP_001177747.1
H01046 NP_001177748.1
H01047 NP_116253.2
H01048 NP_056084.1
H01049 NP_001009881.1
H01050 NP_056511.2
H01051 NP_001036158.1
H01052 NP_075565.2
H01053 NP_078922.1
H01054 NP_001004339.2
H01055 NP_060751.2
H01056 NP_002970.2
H01057 NP_001180528.1
H01058 NP_001180529.1
H01059 NP_001007099.1
H01060 NP_001180546.1
H01061 NP_001007100.1
H01062 NP_001007101.1
H01063 NP_001007251.1
H01064 NP_714914.2
H01065 NP_006662.3
H01066 NP_000089.1
H01067 NP_060357.1
H01068 NP_002361.1
H01069 NP_059992.3
H01070 NP_004622.2
H01071 NP_001018064.1
H01072 NP_150643.2
H01073 NP_149056.1
H01074 NP_671726.2
H01075 NP_060557.3
H01076 NP_001162023.1
H01077 NP_061855.1
H01078 NP_000783.2
H01079 NP_001034804.1
H01080 NP_998758.1
H01081 NP_001034805.1
H01082 NP_057210.2
H01083 NP_443172.1
H01084 NP_001010978.2
H01085 NP_004863.2
H01086 NP_694580.1
H01087 NP_963840.2
H01088 NP_001026842.2
H01089 NP_057575.2
H01090 NP_001009955.1
H01091 NP_060540.2
H01092 NP_663768.1
H01093 NP_056362.1
H01094 NP_671517.1
H01095 NP_788954.2
H01096 NP_001034553.2
H01097 NP_004614.3
H01098 NP_689481.2
H01099 NP_001107580.1
H01100 NP_060374.2
H01101 NP_001104003.1
H01102 NP_689820.2
H01103 NP_055577.1
H01104 NP_872338.1
H01105 NP_476517.1
H01106 NP_777596.2
H01107 NP_056121.2
H01108 NP_003704.3
H01109 NP_006243.2
H01110 NP_001004303.3
H01111 NP_000553.1
H01112 NP_000057.1
H01113 NP_066566.3
H01114 NP_660286.1
H01115 NP_002344.2
H01116 NP_001078956.1
H01117 NP_002219.1
H01118 NP_060761.3
H01119 NP_001106882.1
H01120 NP_056972.1
H01121 NP_000766.2
H01122 NP_689590.1
H01123 NP_001138983.1
H01124 NP_001138984.1
H01125 NP_005586.1
H01126 NP_001128145.1
H01127 NP_114416.1
H01128 NP_795352.2
H01129 NP_001158307.1
H01130 NP_061952.3
H01131 NP_859063.3
H01132 NP_003359.3
H01133 NP_001017415.1
